Db1,246?-001-240.052-371-371-000!-000!-000!-000!-002-680?-000!-002-000!-000!*
Db2,590-025.010-009.006.003-606s.003-081.006.003-670.003-095f.095f-606s-073.006-008-059f.006-522f-000!*
Db3,383-383-013.006.074-001.063-001.063-007.003-004.006-004.095?-002-002-280?.063-012-093f-200-000!*
Db4,741-630-050-050-001-700.244-700.244-240.008-240.008-022-007-600-007.010?-000!*
Db5,522f?.700-002.009-200.524f.077-006-006:700-622-741-015-008-040-008-069.000!-000!-000!*
Db6,244?-006-009-044-608V-006-007-600-007-680-200-093f-009:042-041*
