Sa1,?-739.22f-62.1-53-15.63.3-46-110-2-60-1V-280-306.3-4.64-745.1-67-22f-67.490-1t-254-2-69-282s?-79-62.1-631-607-89a-96-205-67-2-79-79-301-300?*
Sa2,600-700.678-20f-56.3-209.260.1-260.1.10-1.260-306s-226s-5-260-1t?-204s-1.246.69-22f.243-27.6-77.34-522f-11-410-601s-62.?-1?.62?-6-1-459-?-3-306.3-280-200*
Sa3,306?-1.520fy-4.64-1.520f-4.64-90-?-670--200.59f4.64-745.1-306s-400-522fy-16-70-46-522f-2-386.3-2.3-141-93f-1-1.10-380.1-555-91-8-53-7-380.1-600-62.9-232s-600-380.1*
Sa4,67-22f-46-522f-46-22f-46-246-1.86-280-1-1-1.260.1-206s-206s-260.1-430-522f-590-17-70-17-1-510-39-40-670-2.63-62.1.62-100.62-16.62x-202s-1-?-?.10-59f-35-59f.55b-35-460-10.55b-59f-35-?*
Sa5,203?-520f-57-57-53-510.55b-591-55b-739-68-607-68-607-68-354-?-7-?-200-?-280-2-4-280-2-280-30a-60-755-22-600-159-60-576s.3-306s.3-1-89a-5-1-190a.55b-22f-55b-45.9.37-540.1-739-522f-301.9-260.1-200*
Sa6,?.44-607-45.9.37-10.1f-522f-306s.3-522f.3-22f.3-6.74f.3-145.3-102-53-5-73.64-27-15-97-110-380.1-6-5-50V-432.2-70-575-6.74?-745.1-2-34-?.3-?-?.3-?.3-102.3-141-286s-2-282s-1.63-1.600.77.77-522f-22f-59f-631-204-600-?-?*
Sa7,?-?-?-493?-660.?-102-660-50.10-53-102-99?-660-?-?-380?-?.52-305s-53-400.52-305-53-45.9.37-10.1-739-522f-2-660.21t-69.3-47-2-46-73.6-7-600-99-50-1.9-755-50-356.356-45?-159-432*
Sa8,?.306?-28?-670?-28?-6-28?-6-301?-?-59f?-19-19.61.52x-200-?-600V-?-95f?-200-2-6-?*
